

Allarme - Sensore: 1, Temperatura: 22, Umidità: 30, Qualità dell'aria: 98

Allarme - Sensore: 1, Temperatura: 35, Umidità: 3, Qualità dell'aria: 6

Allarme - Sensore: 1, Temperatura: 22, Umidità: 61, Qualità dell'aria: 97

Allarme - Sensore: 1, Temperatura: 2, Umidità: 67, Qualità dell'aria: 84

Allarme - Sensore: 1, Temperatura: 15, Umidità: 13, Qualità dell'aria: 98

Allarme - Sensore: 1, Temperatura: 46, Umidità: 7, Qualità dell'aria: 6

Allarme - Sensore: 1, Temperatura: 35, Umidità: 3, Qualità dell'aria: 0

Allarme - Sensore: 1, Temperatura: 4, Umidità: 67, Qualità dell'aria: 78

Allarme - Sensore: 1, Temperatura: 33, Umidità: 38, Qualità dell'aria: 46

Allarme - Sensore: 1, Temperatura: 33, Umidità: 50, Qualità dell'aria: 4

Allarme - Sensore: 1, Temperatura: 47, Umidità: 78, Qualità dell'aria: 85

Allarme - Sensore: 1, Temperatura: 4, Umidità: 87, Qualità dell'aria: 75

Allarme - Sensore: 1, Temperatura: 33, Umidità: 96, Qualità dell'aria: 91

Allarme - Sensore: 1, Temperatura: 49, Umidità: 77, Qualità dell'aria: 69

Allarme - Sensore: 1, Temperatura: 31, Umidità: 52, Qualità dell'aria: 2

Allarme - Sensore: 1, Temperatura: 22, Umidità: 68, Qualità dell'aria: 72

Allarme - Sensore: 1, Temperatura: 7, Umidità: 71, Qualità dell'aria: 65

Allarme - Sensore: 1, Temperatura: 44, Umidità: 93, Qualità dell'aria: 81

Allarme - Sensore: 1, Temperatura: 35, Umidità: 42, Qualità dell'aria: 59

Allarme - Sensore: 1, Temperatura: 45, Umidità: 38, Qualità dell'aria: 88

Allarme - Sensore: 1, Temperatura: 35, Umidità: 54, Qualità dell'aria: 9

Allarme - Sensore: 1, Temperatura: 48, Umidità: 66, Qualità dell'aria: 63

Allarme - Sensore: 1, Temperatura: 44, Umidità: 85, Qualità dell'aria: 74

Allarme - Sensore: 1, Temperatura: 27, Umidità: 79, Qualità dell'aria: 67

Allarme - Sensore: 1, Temperatura: 19, Umidità: 23, Qualità dell'aria: 90

Allarme - Sensore: 1, Temperatura: 32, Umidità: 32, Qualità dell'aria: 88

Allarme - Sensore: 1, Temperatura: 32, Umidità: 85, Qualità dell'aria: 54

Allarme - Sensore: 1, Temperatura: 43, Umidità: 0, Qualità dell'aria: 91

Allarme - Sensore: 1, Temperatura: 30, Umidità: 79, Qualità dell'aria: 48

