Sensore ID: 1, value: 81, allarm: 2, disable: 0

Sensore ID: 1, value: 97, allarm: 3, disable: 1

Sensore ID: 1, value: 91, allarm: 4, disable: 2

Sensore ID: 1, value: 83, allarm: 5, disable: 3

Sensore ID: 1, value: 89, allarm: 6, disable: 4

Sensore ID: 1, value: 94, allarm: 7, disable: 5

Sensore ID: 1, value: 87, allarm: 8, disable: 6

Sensore ID: 1, value: 97, allarm: 9, disable: 7

Sensore ID: 1, value: 97, allarm: 10, disable: 8

Sensore ID: 1, value: 86, allarm: 11, disable: 9

Sensore ID: 1, value: 92, allarm: 12, disable: 10

Sensore ID: 1, value: 80, allarm: 13, disable: 11

Sensore ID: 1, value: 77, allarm: 14, disable: 12

Sensore ID: 1, value: 89, allarm: 15, disable: 13

Sensore ID: 1, value: 81, allarm: 16, disable: 14

Sensore ID: 1, value: 80, allarm: 17, disable: 15

Sensore ID: 1, value: 93, allarm: 2, disable: 0

Sensore ID: 1, value: 82, allarm: 2, disable: 0

Sensore ID: 1, value: 84, allarm: 2, disable: 0

Sensore ID: 2, value: 90, allarm: 2, disable: 0

Sensore ID: 1, value: 76, allarm: 2, disable: 0

Sensore ID: 1, value: 94, allarm: 2, disable: 0

Sensore ID: 2, value: 81, allarm: 2, disable: 0

Sensore ID: 1, value: 79, allarm: 2, disable: 0

Sensore ID: 1, value: 97, allarm: 2, disable: 0

Sensore ID: 1, value: 86, allarm: 3, disable: 1

Sensore ID: 1, value: 77, allarm: 4, disable: 2

Sensore ID: 1, value: 76, allarm: 5, disable: 3

Sensore ID: 1, value: 88, allarm: 6, disable: 4

Sensore ID: 2, value: 93, allarm: 2, disable: 0

Sensore ID: 1, value: 82, allarm: 7, disable: 5

Sensore ID: 2, value: 79, allarm: 3, disable: 1

Sensore ID: 1, value: 89, allarm: 8, disable: 6

Sensore ID: 2, value: 80, allarm: 4, disable: 2

Sensore ID: 1, value: 88, allarm: 9, disable: 7

Sensore ID: 2, value: 97, allarm: 5, disable: 3

Sensore ID: 2, value: 97, allarm: 6, disable: 4

Sensore ID: 1, value: 76, allarm: 10, disable: 8

Sensore ID: 1, value: 96, allarm: 11, disable: 9

Sensore ID: 2, value: 80, allarm: 7, disable: 5

Sensore ID: 1, value: 89, allarm: 12, disable: 10

Sensore ID: 2, value: 91, allarm: 8, disable: 6

Sensore ID: 1, value: 96, allarm: 13, disable: 11

Sensore ID: 2, value: 87, allarm: 9, disable: 7

Sensore ID: 1, value: 96, allarm: 14, disable: 12

Sensore ID: 2, value: 76, allarm: 10, disable: 8

